"('one.01', 'n')",2235
"('exist.01', 'v')",1234
"('doctrin.01', 'n')",1064
"('iodin.01', 'n')",931
"('thi.01', 'n')",814
"('dont.01', 'n')",812
"('like.01', 'n')",623
"('thu.02', 'r')",569
"('know.09', 'v')",514
"('canst.01', 'n')",434
"('oh.01', 'n')",422
"('equal.01', 'v')",403
"('suffic.01', 'v')",388
"('suppos.01', 'v')",378
"('embodi.02', 'v')",375
"('never.02', 'r')",355
"('occur.02', 'v')",347
"('sidereal_day.01', 'n')",340
"('take.35', 'v')",324
"('rifl.02', 'v')",320
"('back.02', 'r')",317
"('ive.01', 'n')",301
"('precis.01', 'r')",294
"('time.02', 'n')",291
"('whi.01', 'n')",277
"('suffer.02', 'v')",276
"('could.01', 'n')",260
"('want.02', 'v')",257
"('nowaday.01', 'r')",256
"('surviv.01', 'v')",252
"('way.11', 'n')",249
"('watch.03', 'v')",239
"('asid.02', 'r')",236
"('love.03', 'v')",232
"('aint.01', 'n')",231
"('want.03', 'v')",229
"('pay_back.02', 'v')",227
"('lawsuit.01', 'n')",223
"('order.01', 'v')",220
"('hi.01', 'n')",212
"('gonna.01', 'n')",212
"('sleep_togeth.01', 'v')",210
"('us.01', 'n')",203
"('yeah.01', 'n')",202
"('perplex.01', 'v')",193
"('try_on.01', 'v')",190
"('old.02', 'a')",189
"('take.24', 'v')",187
"('induc.02', 'v')",183
"('sexual_lov.02', 'n')",179
"('everyth.01', 'n')",176
"('worldly_concern.01', 'n')",173
"('scram.01', 'v')",164
"('ya.01', 'n')",160
"('travel.01', 'v')",160
"('everi.01', 'n')",160
"('would.01', 'n')",160
"('nigger.01', 'n')",159
"('wanna.01', 'n')",159
"('thing.01', 'n')",155
"('wont.01', 'n')",153
"('noth.01', 'n')",149
"('know.02', 'v')",147
"('excess.01', 'r')",147
"('girlfriend.02', 'n')",146
"('befor.01', 'n')",144
"('visit.01', 'v')",143
"('expect.03', 'v')",141
"('biographi.01', 'n')",141
"('feel.08', 'v')",139
"('onli.05', 'r')",133
"('caus.01', 'v')",131
"('someth.01', 'n')",130
"('new.06', 'a')",129
"('tell.07', 'v')",125
"('permit.01', 'v')",125
"('anoth.01', 'n')",124
"('lone.01', 'n')",124
"('spirit.02', 'n')",122
"('nox.01', 'n')",121
"('still.04', 'r')",119
"('eye.01', 'n')",117
"('head.28', 'n')",117
"('grow.08', 'v')",116
"('small.01', 'a')",116
"('ohio.01', 'n')",115
"('therefor.01', 'r')",113
"('alway.01', 'r')",113
"('veri.01', 'r')",112
"('rememb.07', 'v')",112
"('night.07', 'n')",112
"('world.08', 'n')",111
"('hey.01', 'n')",111
"('around.01', 'n')",110
"('die.01', 'v')",110
"('love.05', 'n')",109
"('find.05', 'v')",109
"(""you'll.01"", 'n')",108
"('let.01', 'v')",108
"('leav.11', 'v')",106
"('gotta.01', 'n')",106
"('thing.12', 'n')",105
"('practic.01', 'v')",104
"('let.02', 'n')",104
"('wrong.05', 'a')",104
"('person.01', 'n')",103
"('ill.01', 'a')",103
"('without.01', 'n')",103
"('think.13', 'v')",103
"('semen.01', 'n')",103
"('fuck.01', 'n')",102
"('restrain.01', 'v')",102
"('shit.04', 'n')",101
"('total.01', 'v')",101
"('ye.01', 'n')",100
"('last.02', 'a')",99
"('properli.01', 'r')",98
"('tonight.01', 'n')",96
"('prison_term.01', 'n')",96
"('good.03', 'a')",95
"('ever.03', 'r')",94
"('never.01', 'r')",92
"('mere.01', 'r')",92
"('well.13', 'r')",91
"('insid.01', 'n')",91
"('must.01', 'n')",89
"('child.03', 'n')",88
"('even.04', 'r')",86
"('ailment.01', 'n')",85
"('receiv.02', 'v')",85
"('nigra.01', 'n')",85
"('heart.10', 'n')",85
"('sustain.04', 'v')",85
"('home_pl.01', 'n')",84
"('death.06', 'n')",84
"('pipe_dream.01', 'n')",83
"('right.07', 'a')",82
"('onli.01', 'n')",82
"('mind.06', 'n')",82
"('son.01', 'n')",82
"('forget.03', 'v')",81
"('regret.01', 'a')",81
"('soul.05', 'n')",81
"('thinker.01', 'n')",81
"('start.06', 'n')",81
